open,high,low,close,volume,ticks,imbalance,symbol
16917.453125,17214.201171875,16128.912109375,16128.912109375,85700.0,8,-85700.0,BANKNIFTY
15789.916015625,17933.841796875,15789.916015625,16398.458984375,54700.0,38,-54700.0,BANKNIFTY
15609.6181640625,15609.6181640625,15609.6181640625,15609.6181640625,79300.0,1,79300.0,BANKNIFTY
15560.9697265625,15560.9697265625,15560.9697265625,15560.9697265625,64213000.0,1,64213000.0,BANKNIFTY
15046.625,15046.625,15046.625,15046.625,86500.0,1,86500.0,BANKNIFTY
14344.033203125,14344.033203125,14344.033203125,14344.033203125,96300.0,1,96300.0,BANKNIFTY
13555.54296875,13555.54296875,13555.54296875,13555.54296875,104600.0,1,104600.0,BANKNIFTY
16190.4111328125,16190.4111328125,16190.4111328125,16190.4111328125,70300.0,1,70300.0,BANKNIFTY
16997.251953125,16997.251953125,16997.251953125,16997.251953125,83900.0,1,83900.0,BANKNIFTY
17671.1953125,17671.1953125,17671.1953125,17671.1953125,78900.0,1,78900.0,BANKNIFTY
17828.392578125,17828.392578125,17828.392578125,17828.392578125,91400.0,1,91400.0,BANKNIFTY
19076.328125,19076.328125,19076.328125,19076.328125,146300.0,1,146300.0,BANKNIFTY
20200.015625,25122.5078125,17876.4921875,24088.62109375,94700.0,213,94700.0,BANKNIFTY
24221.869140625,25768.30078125,24221.869140625,25735.951171875,76600.0,23,-76600.0,BANKNIFTY
25779.3515625,27498.12890625,24851.51171875,25058.259765625,265300.0,58,-265300.0,BANKNIFTY
24874.111328125,25687.6015625,24818.41015625,24818.41015625,134500.0,9,-134500.0,BANKNIFTY
24448.166015625,25568.00390625,23670.125,25568.00390625,114400.0,39,114400.0,BANKNIFTY
25604.953125,25604.953125,25604.953125,25604.953125,97400.0,1,97400.0,BANKNIFTY
25645.1015625,25645.1015625,25645.1015625,25645.1015625,94400.0,1,94400.0,BANKNIFTY
25851.75,28319.669921875,25684.650390625,27826.2265625,179500.0,73,-179500.0,BANKNIFTY
28128.224609375,28128.224609375,28128.224609375,28128.224609375,151600.0,1,151600.0,BANKNIFTY
28273.921875,28273.921875,28273.921875,28273.921875,172500.0,1,172500.0,BANKNIFTY
28257.572265625,28257.572265625,28257.572265625,28257.572265625,138100.0,1,138100.0,BANKNIFTY
28027.57421875,28269.322265625,27819.17578125,27819.17578125,123200.0,8,-123200.0,BANKNIFTY
27430.431640625,27481.12890625,24970.05859375,25069.609375,253300.0,19,-253300.0,BANKNIFTY
24819.01171875,27509.1796875,24420.767578125,27509.1796875,146100.0,64,146100.0,BANKNIFTY
27720.078125,27720.078125,26573.091796875,27085.634765625,231600.0,18,-231600.0,BANKNIFTY
27186.283203125,31647.283203125,26653.939453125,31647.283203125,232000.0,73,232000.0,BANKNIFTY
31597.533203125,31653.283203125,30857.041015625,30857.041015625,274600.0,7,-274600.0,BANKNIFTY
31066.189453125,31471.484375,30272.8984375,31471.484375,242986000.0,20,242986000.0,BANKNIFTY
31475.435546875,31475.435546875,29284.609375,29284.609375,339800.0,12,-339800.0,BANKNIFTY
29127.76171875,29324.958984375,28204.62109375,28204.62109375,310300.0,9,-310300.0,BANKNIFTY
27647.728515625,30565.84375,26757.33984375,28725.166015625,1187300.0,38,-1187300.0,BANKNIFTY
28413.76953125,30632.794921875,27731.52734375,30632.794921875,364800.0,23,364800.0,BANKNIFTY
30749.04296875,32122.576171875,30541.1953125,32122.576171875,498300.0,14,498300.0,BANKNIFTY
31945.728515625,31978.9296875,31612.982421875,31978.9296875,516800.0,4,516800.0,BANKNIFTY
31712.580078125,31712.580078125,31712.580078125,31712.580078125,393300.0,1,393300.0,BANKNIFTY
31341.185546875,31341.185546875,31341.185546875,31341.185546875,485400.0,1,485400.0,BANKNIFTY
31316.287109375,31316.287109375,31316.287109375,31316.287109375,494500.0,1,494500.0,BANKNIFTY
31159.98828125,31159.98828125,31159.98828125,31159.98828125,505400.0,1,505400.0,BANKNIFTY
31256.38671875,31256.38671875,31256.38671875,31256.38671875,815400.0,1,815400.0,BANKNIFTY
31665.08203125,31665.08203125,31665.08203125,31665.08203125,529700.0,1,529700.0,BANKNIFTY
32013.876953125,32013.876953125,32013.876953125,32013.876953125,390500.0,1,390500.0,BANKNIFTY
31973.828125,31973.828125,31973.828125,31973.828125,306000.0,1,306000.0,BANKNIFTY
32139.876953125,32139.876953125,32139.876953125,32139.876953125,259900.0,1,259900.0,BANKNIFTY
32243.875,32243.875,32243.875,32243.875,258800.0,1,258800.0,BANKNIFTY
32241.07421875,32241.07421875,32241.07421875,32241.07421875,436900.0,1,436900.0,BANKNIFTY
