event_time,close,sPos,sNeg,trigger
2024-10-10,1874.7864990234,0.0,0.0,1
2024-10-17,1814.9157714844,0.0,0.0,-1
2024-10-21,1757.5437011719,0.0,0.0,-1
2024-10-25,1706.5686035156,0.0,0.0,-1
2024-10-29,1765.8395996094,0.0,0.0,1
2024-11-04,1711.666015625,0.0,0.0,-1
2024-11-12,1690.9261474609,0.0,0.0,-1
2024-11-14,1639.0014648438,0.0,0.0,-1
2024-11-19,1595.5726318359,0.0,0.0,-1
2024-12-03,1606.3173828125,0.0,0.0,1
2024-12-05,1643.2993164062,0.0,0.0,1
2024-12-11,1685.6787109375,0.0,0.0,1
2024-12-17,1642.3498535156,0.0,0.0,-1
2024-12-19,1588.7760009766,0.0,0.0,-1
2025-01-02,1699.8218994141,0.0,0.0,1
2025-01-14,1712.6655273438,0.0,0.0,1
2025-01-15,1670.8359375,0.0,0.0,-1
2025-01-20,1734.3549804688,0.0,0.0,1
2025-01-28,1768.0885009766,0.0,0.0,1
2025-01-30,1744.3500976562,0.0,0.0,-1
2025-02-03,1793.9759521484,0.0,0.0,1
2025-02-11,1744.0002441406,0.0,0.0,-1
2025-02-12,1787.8288574219,0.0,0.0,1
2025-02-13,1848.3494873047,0.0,0.0,1
2025-02-17,1893.9272460938,0.0,0.0,1
2025-02-24,1856.8953857422,0.0,0.0,-1
2025-02-27,1924.6123046875,0.0,0.0,1
2025-02-28,1871.3883056641,0.0,0.0,-1
2025-03-04,1789.4282226562,0.0,0.0,-1
2025-03-06,1844.5512695312,0.0,0.0,1
2025-03-11,1804.5208740234,0.0,0.0,-1
2025-03-17,1870.6885986328,0.0,0.0,1
2025-03-24,1893.2276611328,0.0,0.0,1
2025-03-25,1944.1029052734,0.0,0.0,1
2025-03-27,2004.7733154297,0.0,0.0,1
2025-04-01,1936.1566162109,0.0,0.0,-1
2025-04-07,1851.7478027344,0.0,0.0,-1
2025-04-08,1902.2731933594,0.0,0.0,1
2025-04-11,1945.3522949219,0.0,0.0,1
2025-04-17,2034.3089599609,0.0,0.0,1
2025-04-21,2102.4755859375,0.0,0.0,1
2025-04-25,2044.50390625,0.0,0.0,-1
2025-04-30,1950.6496582031,0.0,0.0,-1
2025-05-05,2025.2132568359,0.0,0.0,1
2025-05-09,1969.0406494141,0.0,0.0,-1
2025-05-12,2049.4013671875,0.0,0.0,1
2025-05-20,2004.1235351562,0.0,0.0,-1
2025-05-22,2000.0255126953,0.0,0.0,-1
2025-05-26,2051.6005859375,0.0,0.0,1
2025-05-29,2009.9207763672,0.0,0.0,-1
2025-06-03,1990.9300537109,0.0,0.0,-1
2025-06-05,1943.0533447266,0.0,0.0,-1
2025-06-06,1989.0308837891,0.0,0.0,1
2025-06-12,2027.8121337891,0.0,0.0,1
2025-06-18,1980.4351806641,0.0,0.0,-1
2025-06-24,2008.2215576172,0.0,0.0,1
2025-06-26,2052.6000976562,0.0,0.0,1
2025-07-02,2007.9000244141,0.0,0.0,-1
2025-07-08,2018.3000488281,0.0,0.0,1
2025-07-21,2053.8999023438,0.0,0.0,1
2025-07-25,1985.8000488281,0.0,0.0,-1
2025-07-31,1948.0,0.0,0.0,-1
2025-08-12,1908.0,0.0,0.0,-1
2025-08-18,1993.5,0.0,0.0,1
2025-08-26,1924.1999511719,0.0,0.0,-1
2025-09-02,1955.9000244141,0.0,0.0,1
2025-09-04,2002.1999511719,0.0,0.0,1
2025-09-12,2081.5,0.0,0.0,1
2025-09-25,2035.5999755859,0.0,0.0,-1
2025-10-15,2084.1000976562,0.0,0.0,1
2025-10-20,2139.8000488281,0.0,0.0,1
2025-10-23,2176.6000976562,0.0,0.0,1
